Average,City,Code,Direction,Full,Location,Maximum,Minimum,Month,Precipitation,Speed,State,Week of,Year
18,Providence,PVD,25,2/14/2016,"Providence, RI",27,9,2,0.6,10.28,Rhode Island,14,2016
36,Anderson,AND,24,2/14/2016,"Anderson, SC",45,27,2,0,8.58,South Carolina,14,2016
41,Charleston,CHS,20,2/14/2016,"Charleston, SC",51,31,2,0.08,7.58,South Carolina,14,2016
39,Columbia,CAE,21,2/14/2016,"Columbia, SC",48,28,2,0.05,7.31,South Carolina,14,2016
33,Greer,GSP,16,2/14/2016,"Greer, SC",42,24,2,0.04,6.47,South Carolina,14,2016
16,Aberdeen,ABR,12,2/14/2016,"Aberdeen, SD",24,9,2,0.42,10.48,South Dakota,14,2016
18,Huron,HON,18,2/14/2016,"Huron, SD",25,11,2,0.09,10.82,South Dakota,14,2016
27,Pierre,PIR,17,2/14/2016,"Pierre, SD",35,18,2,0.22,9.11,South Dakota,14,2016
37,Rapid City,RAP,29,2/14/2016,"Rapid City, SD",49,24,2,0.23,8.61,South Dakota,14,2016
13,Sioux Falls,FSD,22,2/14/2016,"Sioux Falls, SD",20,6,2,0.18,11.52,South Dakota,14,2016
25,Bristol/Jhnsn Cty/Kngsprt,TRI,23,2/14/2016,"Bristol/Jhnsn Cty/Kngsprt, TN",32,18,2,0.62,6.74,Tennessee,14,2016
35,Chattanooga,CHA,23,2/14/2016,"Chattanooga, TN",43,27,2,0.02,6.97,Tennessee,14,2016
28,Clarksville,CKV,20,2/14/2016,"Clarksville, TN",34,21,2,0.27,7.8,Tennessee,14,2016
26,Crossville,CSV,23,2/14/2016,"Crossville, TN",33,19,2,0.09,7.8,Tennessee,14,2016
29,Knoxville,TYS,25,2/14/2016,"Knoxville, TN",35,23,2,0.14,8.05,Tennessee,14,2016
39,Memphis,MEM,21,2/14/2016,"Memphis, TN",47,29,2,0.11,8.17,Tennessee,14,2016
31,Nashville,BNA,24,2/14/2016,"Nashville, TN",38,23,2,0.28,6.55,Tennessee,14,2016
31,Oak Ridge,OQT,24,2/14/2016,"Oak Ridge, TN",37,24,2,0.17,3.18,Tennessee,14,2016
52,Abilene,ABI,22,2/14/2016,"Abilene, TX",69,35,2,0,6.41,Texas,14,2016
47,Amarillo,AMA,19,2/14/2016,"Amarillo, TX",66,28,2,0,8.84,Texas,14,2016
56,Austin/Bergstrom,AUS,20,2/14/2016,"Austin/Bergstrom, TX",74,38,2,0,6.97,Texas,14,2016
61,Austin/City,ATT,20,2/14/2016,"Austin/City, TX",75,47,2,0,3.54,Texas,14,2016
57,Beaumont/Port Arthur,BPT,21,2/14/2016,"Beaumont/Port Arthur, TX",71,45,2,0.01,8.32,Texas,14,2016
63,Brownsville,BRO,16,2/14/2016,"Brownsville, TX",76,50,2,0,8.85,Texas,14,2016
50,Childress,CDS,21,2/14/2016,"Childress, TX",67,32,2,0,7.5,Texas,14,2016
59,College Station,CLL,20,2/14/2016,"College Station, TX",72,45,2,0,7.44,Texas,14,2016
61,Corpus Christi,CRP,20,2/14/2016,"Corpus Christi, TX",78,44,2,0,9.62,Texas,14,2016
48,Dalhart,DHT,21,2/14/2016,"Dalhart, TX",67,29,2,0,6.8,Texas,14,2016
55,Dallas,DAL,21,2/14/2016,"Dallas, TX",67,42,2,0,7.75,Texas,14,2016
54,Dallas-Fort Worth,DFW,21,2/14/2016,"Dallas-Fort Worth, TX",67,41,2,0,9.4,Texas,14,2016
59,Del Rio,DRT,17,2/14/2016,"Del Rio, TX",77,41,2,0,4.1,Texas,14,2016
53,El Paso,ELP,13,2/14/2016,"El Paso, TX",71,34,2,0,2.08,Texas,14,2016
56,Fort Worth,FTW,21,2/14/2016,"Fort Worth, TX",69,42,2,0,8.31,Texas,14,2016
59,Galveston,GLS,20,2/14/2016,"Galveston, TX",66,51,2,0,9.47,Texas,14,2016
60,Houston,HOU,21,2/14/2016,"Houston, TX",71,48,2,0,7.95,Texas,14,2016
48,Lubbock,LBB,17,2/14/2016,"Lubbock, TX",67,27,2,0,7.25,Texas,14,2016
52,Midland,MAF,23,2/14/2016,"Midland, TX",69,34,2,0,5.12,Texas,14,2016
54,San Angelo,SJT,21,2/14/2016,"San Angelo, TX",74,33,2,0,6.31,Texas,14,2016
59,San Antonio,SAT,20,2/14/2016,"San Antonio, TX",74,43,2,0,5.47,Texas,14,2016
60,Victoria,VCT,20,2/14/2016,"Victoria, TX",75,44,2,0,7.95,Texas,14,2016
54,Waco,ACT,19,2/14/2016,"Waco, TX",72,37,2,0,8.67,Texas,14,2016
50,Wichita Falls,SPS,15,2/14/2016,"Wichita Falls, TX",66,34,2,0,8.32,Texas,14,2016
32,Salt Lake City,SLC,28,2/14/2016,"Salt Lake City, UT",37,26,2,0.09,2.17,Utah,14,2016
25,Blacksburg,BCB,26,2/14/2016,"Blacksburg, VA",33,18,2,0.12,8.97,VA,14,2016
14,Burlington,BTV,26,2/14/2016,"Burlington, VT",23,5,2,0.14,6.3,Vermont,14,2016
25,Lynchburg,LYH,23,2/14/2016,"Lynchburg, VA",34,16,2,0.11,4.41,Virginia,14,2016
32,Norfolk,ORF,22,2/14/2016,"Norfolk, VA",37,27,2,0.05,6.22,Virginia,14,2016
29,Richmond,RIC,20,2/14/2016,"Richmond, VA",36,21,2,0.09,7.02,Virginia,14,2016
25,Roanoke,ROA,26,2/14/2016,"Roanoke, VA",33,18,2,0.12,8.97,Virginia,14,2016
29,Wallops Island,WAL,20,2/14/2016,"Wallops Island, VA",34,23,2,0.19,7.65,Virginia,14,2016
28,Washington,DCA,26,2/14/2016,"Washington, VA",34,22,2,0.24,7.92,Virginia,14,2016
38,Deer Park,DEW,25,2/14/2016,"Deer Park, WA",46,29,2,0.29,3.54,Washington,14,2016
40,Ephrata,EPH,25,2/14/2016,"Ephrata, WA",47,31,2,0.09,5,Washington,14,2016
47,Olympia,OLM,13,2/14/2016,"Olympia, WA",56,38,2,2.4,4.97,Washington,14,2016
51,Quillayute,UIL,15,2/14/2016,"Quillayute, WA",58,43,2,5.45,4.98,Washington,14,2016
50,Seattle,SEA,18,2/14/2016,"Seattle, WA",56,43,2,2.05,6.85,Washington,14,2016
40,Spokane,GEG,12,2/14/2016,"Spokane, WA",46,33,2,0.29,6.7,Washington,14,2016
42,Yakima,YKM,26,2/14/2016,"Yakima, WA",52,32,2,0.18,3.37,Washington,14,2016
18,Beckley,BKW,26,2/14/2016,"Beckley, WV",25,10,2,0.32,8.31,West Virginia,14,2016
22,Charleston,CRW,25,2/14/2016,"Charleston, WV",29,15,2,0.5,6.64,West Virginia,14,2016
16,Elkins,EKN,25,2/14/2016,"Elkins, WV",25,6,2,0.38,5.38,West Virginia,14,2016
23,Huntington,HTS,25,2/14/2016,"Huntington, WV",29,17,2,0.39,5.92,West Virginia,14,2016
9,Green Bay,GRB,28,2/14/2016,"Green Bay, WI",19,0,2,0.11,8.92,Wisconsin,14,2016
9,La Crosse,LSE,28,2/14/2016,"La Crosse, WI",17,0,2,0.14,8.97,Wisconsin,14,2016
11,Madison,MSN,29,2/14/2016,"Madison, WI",18,4,2,0.08,8.28,Wisconsin,14,2016
14,Milwaukee,MKE,28,2/14/2016,"Milwaukee, WI",20,7,2,0.26,10.31,Wisconsin,14,2016
37,Casper,CPR,22,2/14/2016,"Casper, WY",43,27,2,0.02,14.88,Wyoming,14,2016
40,Cheyenne,CYS,28,2/14/2016,"Cheyenne, WY",51,29,2,0.01,14.22,Wyoming,14,2016
34,Lander,LND,27,2/14/2016,"Lander, WY",47,21,2,0,2.17,Wyoming,14,2016
33,Rawlins,RWL,24,2/14/2016,"Rawlins, WY",39,27,2,0,17.58,Wyoming,14,2016
41,Sheridan,SHR,27,2/14/2016,"Sheridan, WY",55,27,2,0.12,6.12,Wyoming,14,2016
55,Birmingham,BHM,20,2/21/2016,"Birmingham, AL",63,46,2,1.24,7.21,Alabama,21,2016
51,Huntsville,HSV,21,2/21/2016,"Huntsville, AL",58,43,2,2.56,6.45,Alabama,21,2016
59,Mobile,MOB,19,2/21/2016,"Mobile, AL",70,47,2,1.48,6.44,Alabama,21,2016
57,Montgomery,MGM,20,2/21/2016,"Montgomery, AL",70,44,2,1.38,4.7,Alabama,21,2016
25,Anchorage,ANC,22,2/21/2016,"Anchorage, AK",32,19,2,0.23,3.85,Alaska,21,2016
40,Annette,ANN,19,2/21/2016,"Annette, AK",44,35,2,1.79,7.35,Alaska,21,2016
17,Bethel,BET,6,2/21/2016,"Bethel, AK",24,9,2,0.11,12.65,Alaska,21,2016
1,Bettles,BTT,30,2/21/2016,"Bettles, AK",14,-11,2,0,3.17,Alaska,21,2016
31,Cold Bay,CDB,23,2/21/2016,"Cold Bay, AK",37,23,2,0.72,13.12,Alaska,21,2016
32,Cordova,CDV,10,2/21/2016,"Cordova, AK",41,23,2,1.43,3.97,Alaska,21,2016
10,Delta Junction/Ft Greely,BIG,13,2/21/2016,"Delta Junction/Ft Greely, AK",17,3,2,0.07,15.4,Alaska,21,2016
3,Fairbanks,FAI,3,2/21/2016,"Fairbanks, AK",15,-9,2,0,1.88,Alaska,21,2016
10,Gulkana,GKN,26,2/21/2016,"Gulkana, AK",20,0,2,0.02,2.2,Alaska,21,2016
60,Gustavus,GST,22,2/21/2016,"Gustavus, AK",60,60,2,0,2.37,Alaska,21,2016
32,Homer,HOM,7,2/21/2016,"Homer, AK",37,26,2,1.92,4.27,Alaska,21,2016
33,Iliamna,ILI,16,2/21/2016,"Iliamna, AK",38,28,2,0,8.6,Alaska,21,2016
34,Juneau,JNU,16,2/21/2016,"Juneau, AK",41,27,2,0.35,3.91,Alaska,21,2016
26,Kenai,ENA,7,2/21/2016,"Kenai, AK",33,20,2,0.09,10.47,Alaska,21,2016
40,Ketchikan,KTN,19,2/21/2016,"Ketchikan, AK",45,36,2,2.53,7.5,Alaska,21,2016
31,King Salmon,AKN,12,2/21/2016,"King Salmon, AK",37,25,2,0.55,7.68,Alaska,21,2016
33,Kodiak,ADQ,13,2/21/2016,"Kodiak, AK",38,28,2,2.76,10.22,Alaska,21,2016
7,Kotzebue,OTZ,9,2/21/2016,"Kotzebue, AK",12,2,2,0.02,11.42,Alaska,21,2016
5,Mc Grath,MCG,25,2/21/2016,"Mc Grath, AK",16,-5,2,0,0.48,Alaska,21,2016
10,Nome,OME,19,2/21/2016,"Nome, AK",18,2,2,0.16,8.3,Alaska,21,2016
-6,Northway,ORT,14,2/21/2016,"Northway, AK",7,-20,2,0,0.98,Alaska,21,2016
28,Palmer,PAQ,31,2/21/2016,"Palmer, AK",35,20,2,1.17,8.6,Alaska,21,2016
60,Petersburg,PSG,16,2/21/2016,"Petersburg, AK",60,60,2,0,2.47,Alaska,21,2016
60,Shemya,SYA,29,2/21/2016,"Shemya, AK",60,60,2,0,20.87,Alaska,21,2016
39,Sitka,SIT,13,2/21/2016,"Sitka, AK",45,33,2,0.52,6.24,Alaska,21,2016
33,Skagway,SGY,5,2/21/2016,"Skagway, AK",38,28,2,0.03,10.27,Alaska,21,2016
31,St Paul Island,SNP,17,2/21/2016,"St Paul Island, AK",34,27,2,0.56,16.51,Alaska,21,2016
24,Talkeetna,TKA,11,2/21/2016,"Talkeetna, AK",34,14,2,0.03,5.22,Alaska,21,2016
3,Tanana,TAL,7,2/21/2016,"Tanana, AK",12,-6,2,0,7.55,Alaska,21,2016
-7,Utqiagvik (Barrow),BRW,6,2/21/2016,"Utqiagvik (Barrow), AK",-3,-12,2,0,17.71,Alaska,21,2016
33,Yakutat,YAK,8,2/21/2016,"Yakutat, AK",41,25,2,2.2,2.98,Alaska,21,2016
59,Douglas Bisbee,DUG,15,2/21/2016,"Douglas Bisbee, AZ",80,37,2,0,3.17,Arizona,21,2016
57,Kingman,IGM,11,2/21/2016,"Kingman, AZ",74,39,2,0,7.75,Arizona,21,2016
70,Phoenix,PHX,14,2/21/2016,"Phoenix, AZ",85,55,2,0,2.12,Arizona,21,2016
67,Tucson,TUS,15,2/21/2016,"Tucson, AZ",84,50,2,0,2.25,Arizona,21,2016
50,Winslow,INW,21,2/21/2016,"Winslow, AZ",71,29,2,0,4.7,Arizona,21,2016
57,Fort Smith,FSM,23,2/21/2016,"Fort Smith, AR",70,43,2,0.03,4.77,Arkansas,21,2016
54,Harrison,HRO,21,2/21/2016,"Harrison, AR",66,41,2,0,6.82,Arkansas,21,2016
56,North Little Rock,LZK,0,2/21/2016,"North Little Rock, AR",65,46,2,0.26,0,Arkansas,21,2016
56,Bakersfield,BFL,13,2/21/2016,"Bakersfield, CA",69,44,2,0.18,2.02,California,21,2016
49,Bishop,BIH,23,2/21/2016,"Bishop, CA",68,29,2,0.06,3.64,California,21,2016
53,China Lake,NID,20,2/21/2016,"China Lake, CA",71,36,2,0,4.3,California,21,2016
57,Concord,CCR,15,2/21/2016,"Concord, CA",68,45,2,0.84,4.27,California,21,2016
50,Eureka,EKA,0,2/21/2016,"Eureka, CA",56,43,2,2.17,0,California,21,2016
56,Fresno,FAT,22,2/21/2016,"Fresno, CA",67,45,2,0.33,2.52,California,21,2016
57,Hayward,HWD,18,2/21/2016,"Hayward, CA",67,47,2,0.5,3.87,California,21,2016
64,Long Beach,LGB,25,2/21/2016,"Long Beach, CA",75,52,2,0.61,2.25,California,21,2016
63,Los Angeles,LAX,23,2/21/2016,"Los Angeles, CA",72,54,2,0.73,3.4,California,21,2016
55,Red Bluff,RBL,25,2/21/2016,"Red Bluff, CA",65,45,2,0.34,9.52,California,21,2016
55,Redding,RDD,27,2/21/2016,"Redding, CA",65,45,2,0.75,7.14,California,21,2016
56,Sacramento,SAC,18,2/21/2016,"Sacramento, CA",67,44,2,0.78,3.98,California,21,2016
59,Salinas,SNS,14,2/21/2016,"Salinas, CA",71,46,2,0.44,4.22,California,21,2016
65,San Diego,SAN,28,2/21/2016,"San Diego, CA",74,56,2,0.05,2.92,California,21,2016
57,San Francisco,SFO,22,2/21/2016,"San Francisco, CA",66,49,2,0.67,6.14,California,21,2016
54,Sandberg,SDB,23,2/21/2016,"Sandberg, CA",62,46,2,0.28,13.17,California,21,2016
59,Santa Barbara,SBA,20,2/21/2016,"Santa Barbara, CA",73,44,2,0.47,2.41,California,21,2016
59,Santa Maria,SMX,23,2/21/2016,"Santa Maria, CA",73,46,2,0.35,5.01,California,21,2016
56,Stockton,SCK,17,2/21/2016,"Stockton, CA",68,43,2,0.48,5.01,California,21,2016
39,Alamosa,ALS,23,2/21/2016,"Alamosa, CO",57,20,2,0,4.12,Colorado,21,2016
47,Colorado Springs,COS,15,2/21/2016,"Colorado Springs, CO",59,33,2,0,7.02,Colorado,21,2016
29,Craig,CAG,19,2/21/2016,"Craig, CO",42,16,2,0.11,4.02,Colorado,21,2016
43,Denver,DEN,17,2/21/2016,"Denver, CO",61,29,2,0,7.45,Colorado,21,2016
41,Grand Junction,GJT,12,2/21/2016,"Grand Junction, CO",54,28,2,0.02,2.04,Colorado,21,2016
49,Pueblo,PUB,19,2/21/2016,"Pueblo, CO",67,29,2,0,6.31,Colorado,21,2016
36,Bridgeport,BDR,21,2/21/2016,"Bridgeport, CT",44,27,2,0.88,7.32,Connecticut,21,2016
32,Windsor Locks,BDL,26,2/21/2016,"Windsor Locks, CT",43,20,2,1.06,6.8,Connecticut,21,2016
37,Wilmington,ILG,18,2/21/2016,"Wilmington, DE",46,27,2,0.99,7.01,Delaware,21,2016
61,Daytona Beach,DAB,9,2/21/2016,"Daytona Beach, FL",72,50,2,0.23,4.58,Florida,21,2016
71,Fort Lauderdale,FLL,13,2/21/2016,"Fort Lauderdale, FL",76,65,2,1.6,10.34,Florida,21,2016
59,Gainesville,GNV,16,2/21/2016,"Gainesville, FL",73,44,2,0.39,4.94,Florida,21,2016
58,Jacksonville,JAX,17,2/21/2016,"Jacksonville, FL",70,45,2,0.31,5.38,Florida,21,2016
71,Key West,EYW,7,2/21/2016,"Key West, FL",76,66,2,0.22,8.91,Florida,21,2016
71,Miami,MIA,13,2/21/2016,"Miami, FL",77,64,2,0.7,8.01,Florida,21,2016
63,Orlando,MCO,14,2/21/2016,"Orlando, FL",75,51,2,0.5,6.24,Florida,21,2016
60,Pensacola,PNS,18,2/21/2016,"Pensacola, FL",69,51,2,0.68,6.52,Florida,21,2016
58,Tallahassee,TLH,18,2/21/2016,"Tallahassee, FL",73,43,2,1.07,3.94,Florida,21,2016
65,Tampa,TPA,16,2/21/2016,"Tampa, FL",74,54,2,0.25,4.72,Florida,21,2016
65,Vero Beach,VRB,13,2/21/2016,"Vero Beach, FL",74,56,2,1.49,7.51,Florida,21,2016
69,West Palm Beach,PBI,13,2/21/2016,"West Palm Beach, FL",76,62,2,0.61,10.01,Florida,21,2016
56,Alma,AMG,18,2/21/2016,"Alma, GA",69,42,2,0.73,3.98,Georgia,21,2016
48,Athens,AHN,18,2/21/2016,"Athens, GA",60,36,2,0.51,4.74,Georgia,21,2016
51,Atlanta,ATL,20,2/21/2016,"Atlanta, GA",60,41,2,1.61,7.62,Georgia,21,2016
51,Augusta,AGS,18,2/21/2016,"Augusta, GA",62,38,2,0.6,4.47,Georgia,21,2016
54,Macon,MCN,19,2/21/2016,"Macon, GA",66,41,2,0.45,5.07,Georgia,21,2016
56,Savannah,SAV,18,2/21/2016,"Savannah, GA",69,43,2,0.1,6.08,Georgia,21,2016
73,Hilo,ITO,26,2/21/2016,"Hilo, HI",82,64,2,1.52,4.21,Hawaii,21,2016
75,Honolulu,HNL,9,2/21/2016,"Honolulu, HI",81,69,2,0.24,10.9,Hawaii,21,2016
74,Kahului,OGG,7,2/21/2016,"Kahului, HI",82,65,2,0.67,12.05,Hawaii,21,2016
72,Kaunakakai,MKK,10,2/21/2016,"Kaunakakai, HI",79,65,2,0.93,10.47,Hawaii,21,2016
73,Lihue,LIH,11,2/21/2016,"Lihue, HI",78,67,2,0.81,15.77,Hawaii,21,2016
47,Boise,BOI,20,2/21/2016,"Boise, ID",56,39,2,0.15,6,Idaho,21,2016
46,Lewiston,LWS,15,2/21/2016,"Lewiston, ID",53,39,2,0.12,3.44,Idaho,21,2016
41,Pocatello,PIH,22,2/21/2016,"Pocatello, ID",50,32,2,0.15,12.51,Idaho,21,2016
35,Chicago,ORD,22,2/21/2016,"Chicago, IL",42,27,2,0.05,9.6,Illinois,21,2016
36,Moline,MLI,22,2/21/2016,"Moline, IL",44,28,2,0,6.9,Illinois,21,2016
40,Peoria,PIA,16,2/21/2016,"Peoria, IL",48,31,2,0,6.57,Illinois,21,2016
42,Quincy,UIN,18,2/21/2016,"Quincy, IL",51,33,2,0.02,6.52,Illinois,21,2016
34,Rockford,RFD,16,2/21/2016,"Rockford, IL",40,26,2,0.03,7.61,Illinois,21,2016
40,Springfield,SPI,13,2/21/2016,"Springfield, IL",51,32,2,0,7.64,Illinois,21,2016
45,Evansville,EVV,20,2/21/2016,"Evansville, IN",54,36,2,0.33,6.37,Indiana,21,2016
36,Fort Wayne,FWA,19,2/21/2016,"Fort Wayne, IN",45,27,2,0.02,9.41,Indiana,21,2016
40,Indianapolis,IND,19,2/21/2016,"Indianapolis, IN",49,31,2,0,9.11,Indiana,21,2016
33,South Bend,SBN,24,2/21/2016,"South Bend, IN",42,24,2,0.05,9.31,Indiana,21,2016
35,Cedar Rapids,CID,22,2/21/2016,"Cedar Rapids, IA",42,28,2,0,8.65,Iowa,21,2016
40,Des Moines,DSM,23,2/21/2016,"Des Moines, IA",47,32,2,0.35,8.62,Iowa,21,2016
31,Dubuque,DBQ,22,2/21/2016,"Dubuque, IA",38,24,2,0,9.6,Iowa,21,2016
38,Sioux City,SUX,23,2/21/2016,"Sioux City, IA",45,31,2,0.2,7.57,Iowa,21,2016
33,Waterloo,ALO,22,2/21/2016,"Waterloo, IA",39,26,2,0,9.28,Iowa,21,2016
50,Concordia,CNK,22,2/21/2016,"Concordia, KS",63,35,2,0.02,9.58,Kansas,21,2016
51,Dodge City,DDC,22,2/21/2016,"Dodge City, KS",67,34,2,0,9.64,Kansas,21,2016
47,Goodland,GLD,28,2/21/2016,"Goodland, KS",64,30,2,0,8.35,Kansas,21,2016
53,Medicine Lodge,P28,19,2/21/2016,"Medicine Lodge, KS",69,37,2,0,8.34,Kansas,21,2016
49,Topeka,TOP,22,2/21/2016,"Topeka, KS",64,33,2,0,7.62,Kansas,21,2016
53,Wichita,ICT,18,2/21/2016,"Wichita, KS",67,38,2,0,10.02,Kansas,21,2016
41,Covington,CVG,23,2/21/2016,"Covington, KY",50,32,2,1.59,7.37,Kentucky,21,2016
44,Jackson,JKL,21,2/21/2016,"Jackson, KY",50,37,2,3.04,1.91,Kentucky,21,2016
43,Lexington,LEX,21,2/21/2016,"Lexington, KY",50,35,2,1.61,6.8,Kentucky,21,2016
44,Louisville,SDF,22,2/21/2016,"Louisville, KY",53,35,2,0.69,5.98,Kentucky,21,2016
48,Paducah,PAH,19,2/21/2016,"Paducah, KY",55,40,2,0.52,5.84,Kentucky,21,2016
61,Baton Rouge,BTR,15,2/21/2016,"Baton Rouge, LA",74,47,2,0.62,5.54,Louisiana,21,2016
62,Lake Charles,LCH,17,2/21/2016,"Lake Charles, LA",73,49,2,0.08,5.47,Louisiana,21,2016
63,New Orleans,MSY,15,2/21/2016,"New Orleans, LA",74,52,2,0.64,6.22,Louisiana,21,2016
62,Shreveport,SHV,19,2/21/2016,"Shreveport, LA",73,51,2,1.26,7.31,Louisiana,21,2016
59,Slidell,ASD,15,2/21/2016,"Slidell, LA",72,45,2,0.99,4.17,Louisiana,21,2016
28,Bangor,BGR,23,2/21/2016,"Bangor, ME",39,16,2,1.49,7.22,Maine,21,2016
22,Caribou,CAR,23,2/21/2016,"Caribou, ME",34,10,2,1.17,7.91,Maine,21,2016
30,Portland,PWM,24,2/21/2016,"Portland, ME",41,18,2,1.11,6.17,Maine,21,2016
38,Baltimore,BWI,23,2/21/2016,"Baltimore, MD",47,28,2,1.21,4.9,Maryland,21,2016
41,Salisbury,SBY,22,2/21/2016,"Salisbury, MD",52,30,2,1.46,5.68,Maryland,21,2016
36,Boston,BOS,23,2/21/2016,"Boston, MA",45,26,2,0.93,8.88,Massachusetts,21,2016
60,Milton,MQE,23,2/21/2016,"Milton, MA",60,60,2,0,13.28,Massachusetts,21,2016
30,Worcester,ORH,25,2/21/2016,"Worcester, MA",40,20,2,0.93,9.5,Massachusetts,21,2016
24,Alpena,APN,24,2/21/2016,"Alpena, MI",34,13,2,0.14,7.55,Michigan,21,2016
34,Detroit,DTW,19,2/21/2016,"Detroit, MI",42,25,2,0.08,8.21,Michigan,21,2016
31,Flint,FNT,20,2/21/2016,"Flint, MI",40,21,2,0.06,8.68,Michigan,21,2016
33,Grand Rapids,GRR,24,2/21/2016,"Grand Rapids, MI",40,24,2,0.09,9.12,Michigan,21,2016
25,Houghton Lake,HTL,24,2/21/2016,"Houghton Lake, MI",35,15,2,0.18,6.94,Michigan,21,2016
31,Lansing,LAN,20,2/21/2016,"Lansing, MI",39,22,2,0.08,8.88,Michigan,21,2016
21,Marquette,MQT,0,2/21/2016,"Marquette, MI",29,13,2,0.45,0,Michigan,21,2016
31,Muskegon,MKG,23,2/21/2016,"Muskegon, MI",39,23,2,0.11,8.34,Michigan,21,2016
22,Sault Ste Marie,ANJ,23,2/21/2016,"Sault Ste Marie, MI",30,14,2,0.63,7.21,Michigan,21,2016
22,Duluth,DLH,21,2/21/2016,"Duluth, MN",31,13,2,0.26,7.41,Minnesota,21,2016
18,International Falls,INL,20,2/21/2016,"International Falls, MN",30,5,2,0.15,5.64,Minnesota,21,2016
31,Minneapolis,MSP,23,2/21/2016,"Minneapolis, MN",37,24,2,0.37,7.9,Minnesota,21,2016
28,Rochester,RST,23,2/21/2016,"Rochester, MN",35,21,2,0.02,11.05,Minnesota,21,2016
29,St Cloud,STC,23,2/21/2016,"St Cloud, MN",35,21,2,0.33,8.11,Minnesota,21,2016
58,Greenville,GLH,19,2/21/2016,"Greenville, MS",68,47,2,1.02,8.18,Mississippi,21,2016
57,Greenwood,GWO,22,2/21/2016,"Greenwood, MS",68,46,2,1.38,6.18,Mississippi,21,2016
57,Gulfport,GPT,18,2/21/2016,"Gulfport, MS",69,48,2,0.73,5.61,Mississippi,21,2016
59,Hattiesburg,HBG,20,2/21/2016,"Hattiesburg, MS",72,46,2,0.79,5.21,Mississippi,21,2016
59,Jackson,JAN,16,2/21/2016,"Jackson, MS",71,47,2,1.32,6.6,Mississippi,21,2016
56,Meridian,MEI,21,2/21/2016,"Meridian, MS",68,43,2,1.19,5.91,Mississippi,21,2016
53,Tupelo,TUP,17,2/21/2016,"Tupelo, MS",62,44,2,1.04,5.71,Mississippi,21,2016
46,Cape Girardeau,CGI,16,2/21/2016,"Cape Girardeau, MO",55,36,2,0.46,6.72,Missouri,21,2016
47,Columbia,COU,16,2/21/2016,"Columbia, MO",57,35,2,0.46,6.92,Missouri,21,2016
48,Kansas City,MCI,20,2/21/2016,"Kansas City, MO",61,35,2,0,9.75,Missouri,21,2016
47,Rolla/Vichy,VIH,23,2/21/2016,"Rolla/Vichy, MO",57,35,2,0.78,7.4,Missouri,21,2016
51,Springfield,SGF,23,2/21/2016,"Springfield, MO",64,37,2,0.1,9.38,Missouri,21,2016
46,St Joseph,STJ,20,2/21/2016,"St Joseph, MO",61,29,2,0,8.41,Missouri,21,2016
48,St Louis,STL,18,2/21/2016,"St Louis, MO",58,38,2,0.08,5.77,Missouri,21,2016
44,Billings,BIL,26,2/21/2016,"Billings, MT",54,33,2,0.08,11.37,Montana,21,2016
33,Butte,BTM,21,2/21/2016,"Butte, MT",41,24,2,0.02,4.31,Montana,21,2016
37,Cut Bank,CTB,23,2/21/2016,"Cut Bank, MT",46,28,2,0,13.41,Montana,21,2016
38,Dillon,DLN,21,2/21/2016,"Dillon, MT",47,29,2,0.01,11.91,Montana,21,2016
35,Glasgow,GGW,19,2/21/2016,"Glasgow, MT",42,27,2,0.09,6.84,Montana,21,2016
41,Great Falls,GTF,22,2/21/2016,"Great Falls, MT",50,31,2,0,13.01,Montana,21,2016
36,Havre,HVR,23,2/21/2016,"Havre, MT",48,24,2,0.03,7.82,Montana,21,2016
42,Helena,HLN,24,2/21/2016,"Helena, MT",50,33,2,0.05,6.8,Montana,21,2016
39,Kalispell,GPI,20,2/21/2016,"Kalispell, MT",46,31,2,0.39,4.88,Montana,21,2016
42,Miles City,MLS,24,2/21/2016,"Miles City, MT",54,30,2,0.24,7,Montana,21,2016
40,Missoula,MSO,29,2/21/2016,"Missoula, MT",48,31,2,0.14,1.94,Montana,21,2016
45,Grand Island,GRI,22,2/21/2016,"Grand Island, NE",55,34,2,0,8.77,Nebraska,21,2016
45,Lincoln,LNK,21,2/21/2016,"Lincoln, NE",57,33,2,0,7.42,Nebraska,21,2016
41,Norfolk,OFK,24,2/21/2016,"Norfolk, NE",50,31,2,0.14,8.45,Nebraska,21,2016
42,North Platte,LBF,26,2/21/2016,"North Platte, NE",59,24,2,0.03,6.87,Nebraska,21,2016
43,Omaha,OMA,25,2/21/2016,"Omaha, NE",53,33,2,0.07,8.37,Nebraska,21,2016
44,Scottsbluff,BFF,27,2/21/2016,"Scottsbluff, NE",60,27,2,0.12,8.55,Nebraska,21,2016
43,Sidney,SNY,28,2/21/2016,"Sidney, NE",60,26,2,0.03,10.72,Nebraska,21,2016
42,Valentine,VTN,27,2/21/2016,"Valentine, NE",57,28,2,0.05,8.81,Nebraska,21,2016
33,Ely,ELY,18,2/21/2016,"Ely, NV",46,20,2,0.5,9.64,Nevada,21,2016
34,Eureka,P68,19,2/21/2016,"Eureka, NV",47,21,2,0.28,4.61,Nevada,21,2016
63,Las Vegas,LAS,18,2/21/2016,"Las Vegas, NV",74,50,2,0,3.65,Nevada,21,2016
